5612,重庆,内江,06:00:00
5619,燕岗,普雄,16:19:00
5620,普雄,燕岗,07:18:00
5629,重庆,遵义,10:34:00
5630,遵义,重庆,09:07:00
5633,普雄,攀枝花,13:01:00
5634,攀枝花,普雄,12:24:00
5635,内江,昭通,07:50:00
5636,昭通,内江,09:30:00
5639,玉屏,贵阳,07:45:00
5640,贵阳,玉屏,13:08:00
5645,贵阳,昭通,11:57:00
5647,昭通,贵阳,10:30:00
5801,乌鲁木齐,阿拉山口,22:28:00
5802,阿拉山口,乌鲁木齐,23:27:00
5809,喀什,和田,12:00:00
5810,和田,喀什,11:00:00
5818,乌鲁木齐南,和田,16:05:00
5820,伊宁,霍尔果斯,09:00:00
6003,六盘水,红果,15:56:00
6004,红果,六盘水,10:20:00
6021,吉林,香坊,07:28:00
6022,香坊,吉林,15:42:00
6025,麻城,九江,08:30:00
6026,九江,麻城,14:30:00
6029,承德,赤峰,13:17:00
6030,赤峰,承德,06:15:00
6031,石家庄北,太原,07:06:00
6032,太原,石家庄北,14:38:00
6034,太原,石家庄北,06:30:00
6035,通辽,锡林浩特,09:30:00
6036,锡林浩特,通辽,19:15:00
6039,通辽,集宁南,08:05:00
6041,集宁南,通辽,09:28:00
6043,邯郸,长治北,12:53:00
6044,长治北,邯郸,07:55:00
6045,临汾,韩城,09:00:00
6046,韩城,临汾,16:54:00
6055,大同,包头,08:00:00
6056,包头,大同,08:10:00
6061,六盘水,昆明,06:07:00
6062,昆明,六盘水,07:45:00
6063,宝鸡,广元,07:33:00
6064,广元,宝鸡,06:50:00
6065,安康,达州,09:16:00
6066,达州,安康,16:09:00
6072,宝鸡,平凉,06:50:00
6074,平凉,宝鸡,13:10:00
6087,张家口南,大同,15:35:00
6161,攀枝花,昆明,15:11:00
6162,昆明,攀枝花,07:10:00
6215,桦南,佳木斯,06:10:00
6216,佳木斯,桦南,04:30:00
6223,牡丹江,东方红,07:50:00
6224,东方红,牡丹江,09:30:00
6225,哈尔滨,帽儿山,16:58:00
6226,帽儿山,香坊,04:46:00
6231,五常,哈尔滨,07:24:00
6232,香坊,五常,08:10:00
6233,五常,哈尔滨,13:43:00
6234,哈尔滨,五常,16:25:00
6238,海拉尔,塔尔气,05:23:00
6240,塔尔气,海拉尔,14:00:00
6245,齐齐哈尔,古莲,10:05:00
6246,古莲,齐齐哈尔,11:18:00
6251,牡丹江,鸡西,13:27:00
6252,鸡西,牡丹江,07:22:00
6253,哈尔滨,绥化,18:16:00
6254,绥化,哈尔滨,06:56:00
6257,佳木斯,双鸭山,17:59:00
6258,双鸭山,佳木斯,05:46:00
6259,齐齐哈尔,富拉尔基,04:50:00
6260,富拉尔基,三间房,07:35:00
6261,三间房,富拉尔基,08:42:00
6262,富拉尔基,三间房,09:58:00
6263,三间房,富拉尔基,16:28:00
6264,富拉尔基,汤池,18:18:00
6265,汤池,富拉尔基,20:00:00
6266,富拉尔基,齐齐哈尔,21:22:00
6268,海拉尔,莫尔道嘎,21:39:00
6270,莫尔道嘎,海拉尔,15:36:00
6272,佳木斯,乌伊岭,11:40:00
6274,乌伊岭,佳木斯,10:40:00
6275,泰来,齐齐哈尔,10:15:00
6276,齐齐哈尔,泰来,07:00:00
6277,泰来,齐齐哈尔,15:41:00
6278,齐齐哈尔,泰来,10:22:00
6279,三间房,齐齐哈尔,19:31:00
6280,齐齐哈尔,三间房,18:30:00
6282,佳木斯,七台河,14:17:00
6284,七台河,佳木斯,06:33:00
6286,牡丹江,长汀镇,17:31:00
6288,长汀镇,牡丹江,05:29:00
6291,佳木斯,鹤北,16:31:00
6292,鹤北,佳木斯,07:10:00
6335,公主岭,长春,06:20:00
6336,长春,公主岭,18:08:00
6337,长春,陶赖昭,17:48:00
6338,德惠,长春,04:38:00
6345,通化,龙井,06:39:00
6346,龙井,通化,12:18:00
6361,马三家,沈阳,09:03:00
6362,沈阳,马三家,07:09:00
6363,马三家,沈阳,16:22:00
6364,沈阳,马三家,15:23:00
6365,马三家,沈阳,19:42:00
